prompt,label
"A serene Persian cat, sitting on a Victorian armchair in a sunlit room, rendered in cyberpunk with intricate detail and soft lighting",0
"A energetic Golden Retriever dog, splashing through a shallow river in a dense jungle, rendered in watercolor with realistic textures and dynamic composition",1
"A majestic Sphynx cat, perched on a bookshelf surrounded by old leather-bound books, rendered in cyberpunk with intricate detail and soft lighting",0
"A adventurous Bulldog dog, splashing through a shallow river in a dense jungle, rendered in watercolor with realistic textures and dynamic composition",1
"A playful Siamese cat, perched on a bookshelf surrounded by old leather-bound books, rendered in watercolor with intricate detail and soft lighting",0
"A adventurous Siberian Husky dog, running through a field of tall golden grass during sunset, rendered in cyberpunk with realistic textures and dynamic composition",1
"A sleepy British Shorthair cat, perched on a bookshelf surrounded by old leather-bound books, rendered in cyberpunk with intricate detail and soft lighting",0
"A loyal Golden Retriever dog, splashing through a shallow river in a dense jungle, rendered in oil painting with realistic textures and dynamic composition",1
"A mysterious Bengal cat, perched on a bookshelf surrounded by old leather-bound books, rendered in oil painting with intricate detail and soft lighting",0
"A alert Golden Retriever dog, sitting obediently by a lakeside campfire under starry skies, rendered in photo-realistic with realistic textures and dynamic composition",1
"A mysterious Siamese cat, curled up in a hammock hanging between two cherry blossom trees, rendered in cyberpunk with intricate detail and soft lighting",0
"A friendly Bulldog dog, standing proudly on a snow-covered mountain peak, rendered in cyberpunk with realistic textures and dynamic composition",1
"A elegant Persian cat, perched on a bookshelf surrounded by old leather-bound books, rendered in oil painting with intricate detail and soft lighting",0
"A alert Siberian Husky dog, splashing through a shallow river in a dense jungle, rendered in anime style with realistic textures and dynamic composition",1
"A sleepy Bengal cat, walking gracefully along a garden path filled with lavender, rendered in watercolor with intricate detail and soft lighting",0
"A energetic Doberman dog, sitting obediently by a lakeside campfire under starry skies, rendered in cyberpunk with realistic textures and dynamic composition",1
"A mysterious Bengal cat, sitting on a Victorian armchair in a sunlit room, rendered in digital painting with intricate detail and soft lighting",0
"A loyal Doberman dog, splashing through a shallow river in a dense jungle, rendered in anime style with realistic textures and dynamic composition",1
"A majestic British Shorthair cat, curled up in a hammock hanging between two cherry blossom trees, rendered in photo-realistic with intricate detail and soft lighting",0
"A friendly Siberian Husky dog, splashing through a shallow river in a dense jungle, rendered in watercolor with realistic textures and dynamic composition",1
"A elegant Siamese cat, perched on a bookshelf surrounded by old leather-bound books, rendered in anime style with intricate detail and soft lighting",0
"A energetic Golden Retriever dog, sitting obediently by a lakeside campfire under starry skies, rendered in watercolor with realistic textures and dynamic composition",1
"A elegant Bengal cat, curled up in a hammock hanging between two cherry blossom trees, rendered in digital painting with intricate detail and soft lighting",0
"A protective Bulldog dog, resting beside a cozy log cabin surrounded by autumn leaves, rendered in anime style with realistic textures and dynamic composition",1
"A serene Siamese cat, walking gracefully along a garden path filled with lavender, rendered in cyberpunk with intricate detail and soft lighting",0
"A adventurous Siberian Husky dog, sitting obediently by a lakeside campfire under starry skies, rendered in digital painting with realistic textures and dynamic composition",1
"A playful Persian cat, walking gracefully along a garden path filled with lavender, rendered in digital painting with intricate detail and soft lighting",0
"A protective Bulldog dog, playing with children in a suburban backyard on a sunny day, rendered in oil painting with realistic textures and dynamic composition",1
"A mysterious Sphynx cat, hunting in a misty forest at dawn, rendered in watercolor with intricate detail and soft lighting",0
"A friendly Golden Retriever dog, standing proudly on a snow-covered mountain peak, rendered in digital painting with realistic textures and dynamic composition",1
"A elegant Persian cat, perched on a bookshelf surrounded by old leather-bound books, rendered in oil painting with intricate detail and soft lighting",0
"A protective Bulldog dog, resting beside a cozy log cabin surrounded by autumn leaves, rendered in watercolor with realistic textures and dynamic composition",1
"A serene Maine Coon cat, lounging on a plush velvet cushion in front of a roaring fireplace, rendered in anime style with intricate detail and soft lighting",0
"A energetic Bulldog dog, splashing through a shallow river in a dense jungle, rendered in anime style with realistic textures and dynamic composition",1
"A mysterious Siamese cat, walking gracefully along a garden path filled with lavender, rendered in anime style with intricate detail and soft lighting",0
"A friendly Siberian Husky dog, running through a field of tall golden grass during sunset, rendered in digital painting with realistic textures and dynamic composition",1
"A majestic Maine Coon cat, hunting in a misty forest at dawn, rendered in digital painting with intricate detail and soft lighting",0
"A adventurous Golden Retriever dog, sitting obediently by a lakeside campfire under starry skies, rendered in watercolor with realistic textures and dynamic composition",1
"A sleepy Siamese cat, curled up in a hammock hanging between two cherry blossom trees, rendered in photo-realistic with intricate detail and soft lighting",0
"A alert Siberian Husky dog, running through a field of tall golden grass during sunset, rendered in digital painting with realistic textures and dynamic composition",1
